Year,Month,MEI
1999,Aug,-1.12
1999,Sep,-1.16
1999,Oct,-1.33
1999,Nov,-1.36
1999,Dec,-1.4
2000,Jan,-1.22
2000,Feb,-1.24
2000,Mar,-1.38
2000,Apr,-1.03
2000,May,-1.17
2000,Jun,-1.12
2000,Jul,-0.55
2000,Aug,-0.17
2000,Sep,-0.34
2000,Oct,-0.5
2000,Nov,-0.77
2000,Dec,-0.75
2001,Jan,-0.81
2001,Feb,-0.82
2001,Mar,-0.75
2001,Apr,-0.74
2001,May,-0.78
2001,Jun,-0.57
2001,Jul,-0.02
2001,Aug,0.23
2001,Sep,-0.09
2001,Oct,-0.28
2001,Nov,-0.36
2001,Dec,-0.07
2002,Jan,-0.07
2002,Feb,-0.41
2002,Mar,-0.26
2002,Apr,-0.36
2002,May,-0.06
2002,Jun,0.42
2002,Jul,0.39
2002,Aug,0.81
2002,Sep,0.74
2002,Oct,0.72
2002,Nov,0.72
2002,Dec,0.79
2003,Jan,0.7
2003,Feb,0.56
2003,Mar,0.57
2003,Apr,-0.04
2003,May,-0.51
2003,Jun,-0.22
2003,Jul,-0.07
2003,Aug,-0.04
2003,Sep,0.14
2003,Oct,0.3
2003,Nov,0.36
2003,Dec,0.18
2004,Jan,0.12
2004,Feb,-0.15
2004,Mar,-0.5
2004,Apr,-0.29
2004,May,-0.38
2004,Jun,-0.05
2004,Jul,0.37
2004,Aug,0.69
2004,Sep,0.51
2004,Oct,0.3
2004,Nov,0.44
2004,Dec,0.49
2005,Jan,0.1
2005,Feb,0.56
2005,Mar,0.75
2005,Apr,0.13
2005,May,0.14
2005,Jun,0.14
2005,Jul,-0.08
2005,Aug,-0.03
2005,Sep,-0.08
2005,Oct,-0.8
2005,Nov,-0.8
2005,Dec,-0.72
2006,Jan,-0.67
2006,Feb,-0.5
2006,Mar,-0.58
2006,Apr,-0.77
2006,May,-0.3
2006,Jun,-0.06
2006,Jul,0.15
2006,Aug,0.57
2006,Sep,0.63
2006,Oct,0.62
2006,Nov,0.83
2006,Dec,0.56
2007,Jan,0.61
2007,Feb,0.46
2007,Mar,-0.13
2007,Apr,-0.47
2007,May,-0.65
2007,Jun,-0.98
2007,Jul,-0.65
2007,Aug,-0.9
2007,Sep,-1.15
2007,Oct,-1.19
2007,Nov,-1.19
2007,Dec,-1.27
2008,Jan,-1.12
2008,Feb,-1.24
2008,Mar,-1.57
2008,Apr,-1.27
2008,May,-0.96
2008,Jun,-0.81
2008,Jul,-0.94
2008,Aug,-0.99
2008,Sep,-1.01
2008,Oct,-1.15
2008,Nov,-1.13
2008,Dec,-1.08
2009,Jan,-0.99
2009,Feb,-0.88
2009,Mar,-0.89
2009,Apr,-0.68
2009,May,-0.63
2009,Jun,0.25
2009,Jul,0.58
2009,Aug,0.54
2009,Sep,0.41
2009,Oct,0.61
2009,Nov,1.18
2009,Dec,1.06
2010,Jan,1.03
2010,Feb,1.34
2010,Mar,1.28
2010,Apr,0.42
2010,May,-0.47
2010,Jun,-1.7
2010,Jul,-2.45
2010,Aug,-2.45
2010,Sep,-2.41
2010,Oct,-2.21
2010,Nov,-2.08
2010,Dec,-1.94
2011,Jan,-1.86
2011,Feb,-1.64
2011,Mar,-1.82
2011,Apr,-1.86
2011,May,-1.35
2011,Jun,-1.13
2011,Jul,-0.87
2011,Aug,-0.89
2011,Sep,-1.18
2011,Oct,-1.43
2011,Nov,-1.33
2011,Dec,-1.24
2012,Jan,-1.12
2012,Feb,-0.71
2012,Mar,-0.56
2012,Apr,-0.48
2012,May,-0.4
2012,Jun,-0.14
2012,Jul,0.37
2012,Aug,0.03
2012,Sep,-0.27
2012,Oct,-0.25
2012,Nov,-0.17
2012,Dec,0.0
2013,Jan,-0.0
2013,Feb,-0.04
2013,Mar,-0.17
2013,Apr,-0.44
2013,May,-0.87
2013,Jun,-1.11
2013,Jul,-0.79
2013,Aug,-0.46
2013,Sep,-0.37
2013,Oct,-0.2
2013,Nov,-0.16
2013,Dec,-0.26
2014,Jan,-0.49
2014,Feb,-0.45
2014,Mar,-0.19
2014,Apr,-0.24
2014,May,-0.26
2014,Jun,-0.02
2014,Jul,0.39
2014,Aug,0.21
2014,Sep,-0.09
2014,Oct,0.04
2014,Nov,0.3
2014,Dec,0.32
2015,Jan,0.17
2015,Feb,-0.04
2015,Mar,0.06
2015,Apr,0.52
2015,May,1.22
2015,Jun,1.74
2015,Jul,1.66
2015,Aug,1.85
2015,Sep,2.14
2015,Oct,2.12
2015,Nov,1.87
2015,Dec,1.94
2016,Jan,1.9
2016,Feb,1.75
2016,Mar,1.3
2016,Apr,1.23
2016,May,1.15
2016,Jun,0.16
2016,Jul,-0.51
2016,Aug,-0.21
2016,Sep,-0.28
2016,Oct,-0.47
2016,Nov,-0.3
2016,Dec,-0.16
2017,Jan,-0.23
2017,Feb,-0.25
2017,Mar,-0.47
2017,Apr,-0.36
2017,May,-0.1
2017,Jun,-0.57
2017,Jul,-0.86
2017,Aug,-0.89
2017,Sep,-0.84
2017,Oct,-0.62
2017,Nov,-0.54
2017,Dec,-0.68
2018,Jan,-0.76
2018,Feb,-0.75
2018,Mar,-0.92
2018,Apr,-1.35
2018,May,-0.89
2018,Jun,-0.61
2018,Jul,-0.34
2018,Aug,0.13
2018,Sep,0.49
2018,Oct,0.38
2018,Nov,0.19
2018,Dec,0.13
2019,Jan,0.04
2019,Feb,0.46
2019,Mar,0.71
2019,Apr,0.29
2019,May,0.2
2019,Jun,0.28
2019,Jul,0.2
2019,Aug,0.26
2019,Sep,0.13
2019,Oct,0.22
2019,Nov,0.44
2019,Dec,0.4
2020,Jan,0.22
2020,Feb,0.13
2020,Mar,0.09
2020,Apr,-0.14
2020,May,-0.36
2020,Jun,-0.87
2020,Jul,-0.88
2020,Aug,-0.94
2020,Sep,-1.21
2020,Oct,-1.19
2020,Nov,-1.14
2020,Dec,-1.16
2021,Jan,-1.18
2021,Feb,-0.93
2021,Mar,-0.81
2021,Apr,-1.04
2021,May,-1.16
2021,Jun,-1.29
2021,Jul,-1.53
2021,Aug,-1.35
2021,Sep,-1.45
2021,Oct,-1.5
2021,Nov,-1.43
2021,Dec,-1.19
2022,Jan,-1.06
2022,Feb,-0.96
2022,Mar,-1.28
2022,Apr,-1.76
2022,May,-1.88
2022,Jun,-2.07
2022,Jul,-2.1
2022,Aug,-1.79
2022,Sep,-1.76
2022,Oct,-1.71
2022,Nov,-1.48
2022,Dec,-1.25
2023,Jan,-1.11
2023,Feb,-0.81
2023,Mar,-0.67
2023,Apr,-0.41
2023,May,-0.14
2023,Jun,0.23
2023,Jul,0.25
2023,Aug,0.43
2023,Sep,0.59
2023,Oct,
2023,Nov,
2023,Dec,
