,STATE,STCOFIPS,HRCN_EVNTS,HRCN_AFREQ,HRCN_EXP_A,HRCN_EXPB,HRCN_EXPP,HRCN_EXPPE,HRCN_EXPA,HRCN_EXPT,HRCN_HLRB,HRCN_HLRP,HRCN_HLRA,HRCN_HLRR,HRCN_EALB,HRCN_EALP,HRCN_EALPE,HRCN_EALA,HRCN_EALT,HRCN_EALS,HRCN_EALR,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_ALR_N,HRCN_RISKV,HRCN_RISKS,HRCN_RISKR,HRCN_RISK_CATEGORY_QUANTILE,ZIP,3ZIP
198,Florida,12063,38.0,0.222510108459,964.20045111,8012036169.9,47247.8888269,548075510392.0,106995101.0,556194541663.0,0.008067413,1.79e-06,0.037677817,Relatively High,14414283.6171,0.0188244320771,218363.412094,894383.361338,15527030.3905,89.1482922611,Relatively Moderate,0.00179906285184,3.98409111e-07,0.00835910572521,89.8832684825,22442515.5052,92.0143562135,Relatively Moderate,Very High,32423,324
199,Florida,12065,44.0,0.250395443741,618.104344482,2318833863.0,14359.0,166564400000.0,41408138.0,168924642001.0,0.004915508,2.3e-06,0.046023685,Relatively High,2860003.5656,0.00828572856454,96114.4513487,477074.489178,3433192.50612,77.4751405102,Relatively Low,0.00123338011025,5.7704078e-07,0.0115212736486,88.9321227843,4116432.43915,80.0358905339,Relatively Low,Very High,32361,323
200,Florida,12067,38.0,0.209423750299,553.43897739,1286180356.0,8205.0,95178000000.0,98515222.0,96562695578.0,0.009040786,2.12e-06,0.042375483,Very High,2374161.91541,0.00363732455609,42192.9648507,859648.202625,3276003.08288,76.999567661,Relatively Low,0.00184590124109,4.43305857e-07,0.00872604441398,90.6614785992,4749362.17587,81.6509645581,Relatively Low,Relatively High,32066,320
201,Florida,12069,53.0,0.249546465976,1168.44011154,58966871973.8,383030.359808,4443152173770.0,247393802.159,4502366439550.0,0.003476559,1.91e-06,0.014827503,Relatively Moderate,51086489.5611,0.18187758892,2109780.03147,895200.746283,54091470.3389,96.1954172071,Relatively High,0.000866323449139,4.74824142e-07,0.00361800019507,85.2140077821,64345632.3535,96.5006729475,Relatively High,Very High,32778,327
202,Florida,12071,52.0,0.267202077814,933.777114258,123301315092.0,759893.245147,8814761643700.0,119695499.041,8938182654290.0,0.012215502,9.48e-06,0.046023685,Very High,366443421.095,1.73167245138,20087400.436,1395785.20958,387926606.74,99.7838305231,Very High,0.00297176428999,2.278750255e-06,0.0116611086966,93.9472546476,430590607.515,99.7756841633,Very High,Very High,33973,339
203,Florida,12073,39.0,0.25016095088,708.87743472,46882868324.0,292154.744351,3388995034470.0,6348837.0,3435884251630.0,0.004648883,2.12e-06,0.043472752,Relatively High,52762868.1087,0.150219068412,1742541.19358,68609.1859003,54574018.4882,96.2386511025,Relatively High,0.00112541224323,5.14172409e-07,0.0108065754248,87.2460008647,60321962.209,96.2314939435,Relatively High,Very High,32306,323
204,Florida,12075,51.0,0.262457999119,1162.83670166,4701758741.24,42749.9993538,495899992505.0,150193233.805,500751944480.0,0.009546776,2.3e-06,0.044816334,Relatively High,10850147.1409,0.0236880531693,274781.416764,1624756.263,12749684.8206,87.3757025508,Relatively Moderate,0.00230767838461,5.54106507e-07,0.0108132593415,92.4340683096,18690913.1737,90.758187528,Relatively Moderate,Very High,32639,326
205,Florida,12077,49.0,0.263817655396,851.63579982,1030846559.0,6344.0,73590400000.0,2817279.0,74624063838.0,0.009241693,2.19e-06,0.043344785,Relatively High,2526958.05227,0.0036796158519,42683.543882,32050.5055914,2601692.10174,74.6217034155,Relatively Low,0.00245134256908,5.80015109e-07,0.0113764045348,92.5205361003,3352557.56196,77.8824585016,Relatively Low,Relatively High,32360,323
206,Florida,12079,38.0,0.240682405718,722.91785631,2579237685.33,17963.9963153,208382357257.0,101242344.0,211062837286.0,0.008744871,2.02e-06,0.040947538,Relatively High,5409863.26405,0.00870538770333,100982.497359,995048.493773,6505894.25518,82.9658452227,Relatively Low,0.00209746589422,4.84601854e-07,0.00982838261601,91.3532209252,9553681.66746,86.6756393001,Relatively Moderate,Very High,32066,320
207,Florida,12081,42.0,0.241695787888,780.491784669,66714157162.3,399427.025647,4633353497500.0,412700224.871,4700480354890.0,0.012215502,9.48e-06,0.046023685,Very High,187596236.916,0.873566188739,10133367.7894,4337787.0594,202067391.765,99.1785559879,Very High,0.00281168257061,2.186730888e-06,0.0105023326841,93.8175529615,234673232.192,99.1924629879,Very High,Very High,34250,342
